sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
34626096916,2021-11-21T08:23:30Z,58,16,15,27,36,51,0.1092436974789916
34623371518,2021-11-21T02:47:00Z,61,21,12,28,40,51,0.08951406649616368
34615548182,2021-11-20T10:18:30Z,65,20,17,28,35,51,0.12939001848428835
34615548181,2021-11-20T04:25:00Z,66,20,14,32,33,51,0.051597051597051594
34601613630,2021-11-19T05:21:00Z,57,20,12,25,31,51,0.14763779527559054
34592325106,2021-11-18T09:44:30Z,59,16,15,28,34,51,0.09644670050761421
34592325105,2021-11-18T04:12:00Z,52,12,12,28,21,51,0.08264462809917356
34577193257,2021-11-17T03:01:30Z,54,20,11,23,38,51,0.18110236220472442
34540133518,2021-11-14T03:13:30Z,59,20,14,25,28,54,0.14570858283433133
34527304893,2021-11-13T05:14:00Z,65,20,13,32,52,55,0.160828025477707
34517490481,2021-11-12T09:36:00Z,76,16,17,43,85,57,0.15022222222222223
34505470874,2021-11-11T02:27:00Z,52,15,12,25,37,56,0.1528046421663443
34494369328,2021-11-10T05:15:00Z,54,14,14,26,21,56,0.09271523178807947
34478238012,2021-11-09T04:17:30Z,73,20,18,35,86,57,0.09465020576131687
34466876005,2021-11-07T06:03:30Z,69,15,19,35,81,56,0.12160566706021252
34429673383,2021-11-05T09:17:00Z,50,13,15,22,27,59,0.2708860759493671
34429673382,2021-11-05T03:32:00Z,62,17,18,27,53,59,0.13941018766756033
34425096297,2021-11-04T06:01:30Z,66,21,13,32,58,58,0.14946070878274267
34394978874,2021-11-02T09:13:30Z,61,20,17,24,30,57,0.19901719901719903
34394978873,2021-11-02T03:05:30Z,63,16,16,31,37,57,0.0582010582010582
34382009594,2021-11-01T07:06:30Z,58,16,13,29,60,55,0.09200968523002422
34344212044,2021-10-29T09:54:00Z,58,18,12,28,47,56,0.21635220125786164
34328448146,2021-10-28T07:43:00Z,43,15,10,18,44,58,0.3203371970495258
34317851911,2021-10-27T07:11:30Z,69,17,15,37,51,57,0.10095011876484561
34304297624,2021-10-26T04:16:00Z,47,21,8,18,47,56,0.23850085178875638
34294524487,2021-10-25T06:36:30Z,59,16,16,27,49,56,0.1315345699831366
34272521212,2021-10-23T10:52:30Z,54,14,20,20,27,56,0.12631578947368421
34268453803,2021-10-23T04:32:00Z,67,19,17,31,42,56,0.15025041736227046
34257230561,2021-10-22T05:06:00Z,60,15,14,31,46,56,0.155096011816839
34245074878,2021-10-21T07:44:30Z,60,15,13,32,32,56,0.22502744237102085
34235837175,2021-10-20T09:26:30Z,74,17,15,42,45,56,0.1340782122905028
34219952204,2021-10-19T05:58:30Z,58,16,15,27,46,58,0.22294654498044328
34206624548,2021-10-18T08:13:00Z,65,15,11,39,69,59,0.2148997134670487
34195245030,2021-10-17T05:20:00Z,51,13,10,28,22,57,0.14647377938517178
34182522822,2021-10-16T08:16:30Z,64,16,13,35,76,56,0.1430274135876043
34172170958,2021-10-15T06:55:30Z,62,18,20,24,29,57,0.08428246013667426
34158380060,2021-10-14T07:02:30Z,67,21,13,33,60,57,0.13071895424836602
34143936032,2021-10-13T03:16:00Z,52,15,12,25,47,56,0.13963039014373715
34133221356,2021-10-12T07:57:30Z,52,15,15,22,28,58,0.24661246612466126
34116637180,2021-10-11T04:08:00Z,52,15,12,25,28,57,0.19221967963386727
34104602277,2021-10-10T07:36:00Z,65,18,14,33,48,61,0.19047619047619047
34096224854,2021-10-09T08:13:30Z,67,16,22,29,50,64,0.1040339702760085
34081055144,2021-10-08T05:53:00Z,51,15,11,25,39,59,0.11940298507462686
32635107083,2021-06-19T08:41:30Z,75,18,13,44,97,61,0.14285714285714285
32623303858,2021-06-18T08:00:00Z,80,17,17,46,87,62,0.07850834151128558
32611389112,2021-06-17T06:52:30Z,65,16,15,34,43,60,0.07863501483679525
32600003247,2021-06-16T07:50:30Z,76,16,16,44,72,63,0.1267092069279854
32585086909,2021-06-15T08:04:30Z,72,20,11,41,70,61,0.13043478260869565
32572782176,2021-06-14T08:31:30Z,84,21,18,45,97,61,0.07793427230046948
32559131378,2021-06-13T08:18:30Z,87,21,20,46,88,63,0.0997229916897507
32548185894,2021-06-12T07:47:00Z,69,21,12,36,54,61,0.10437235543018336
32534909640,2021-06-11T08:24:30Z,81,21,15,45,63,61,0.09537299338999056
32526161890,2021-06-10T08:47:00Z,76,18,13,45,52,58,0.107981220657277
32500313484,2021-06-09T08:37:00Z,72,21,11,40,86,56,0.14091350826044705
32490728499,2021-06-08T07:45:00Z,75,18,12,45,107,54,0.10371075166508087
32474597159,2021-06-07T07:04:00Z,65,19,18,28,84,56,0.11794871794871795
32459918549,2021-06-06T06:56:30Z,79,21,17,41,120,56,0.07348560079443893
32456728231,2021-06-05T06:58:30Z,73,21,20,32,49,58,0.11079136690647481
32434735029,2021-06-04T07:05:30Z,77,19,18,40,75,60,0.08237747653806048
32422210995,2021-06-03T07:35:30Z,72,21,13,38,77,57,0.07478890229191798
32422210994,2021-06-02T07:23:30Z,72,18,19,35,46,57,0.10501750291715285
32392738069,2021-06-01T07:24:30Z,79,20,20,39,45,58,0.07083825265643448
32355653036,2021-05-29T08:27:00Z,77,16,16,45,70,57,0.08439646712463199
32343454715,2021-05-28T07:39:30Z,69,16,14,39,63,56,0.12933753943217666
32328345790,2021-05-27T08:05:30Z,78,19,19,40,55,59,0.13171759747102213
32328345789,2021-05-26T07:21:30Z,87,22,23,42,98,59,0.06904487917146145
32304585124,2021-05-25T07:39:30Z,73,20,8,45,54,57,0.2135054617676266
32292435667,2021-05-24T08:59:30Z,78,17,17,44,98,57,0.12656119900083265
32278490741,2021-05-23T08:55:30Z,76,21,12,43,59,55,0.10223642172523961
32267120680,2021-05-22T09:34:00Z,77,19,14,44,80,54,0.10611928737412858
32259639788,2021-05-21T07:21:30Z,85,21,22,42,48,55,0.06299212598425197
32235647312,2021-05-20T07:39:30Z,72,18,16,38,68,55,0.11046511627906977
32220958437,2021-05-19T07:37:30Z,75,17,18,40,61,55,0.09891196834817013
32208608602,2021-05-18T08:11:30Z,84,21,21,42,58,57,0.1078107810781078
32192632110,2021-05-17T07:33:30Z,68,17,16,35,47,57,0.11023622047244094
32180064820,2021-05-16T09:25:30Z,81,20,15,46,67,57,0.07856450048496605
32171777035,2021-05-15T09:24:30Z,78,20,18,40,37,57,0.11681772406847936
32154181726,2021-05-14T08:16:30Z,77,17,18,42,66,58,0.09129967776584318
32142889773,2021-05-13T08:26:30Z,77,21,19,37,49,58,0.08695652173913043
32127891525,2021-05-12T07:39:30Z,76,19,19,38,55,58,0.08292079207920793
32112190086,2021-05-11T07:26:30Z,76,18,16,42,57,57,0.10602678571428571
32100188727,2021-05-10T07:16:00Z,79,19,18,42,51,58,0.08617021276595745
32086742854,2021-05-09T08:36:30Z,73,15,18,40,68,59,0.10337323177366703
32074848107,2021-05-08T08:55:30Z,70,21,12,37,70,57,0.11589008363201912
32058101822,2021-05-07T07:33:30Z,81,17,22,42,89,57,0.06971677559912855
32046142979,2021-05-06T07:48:30Z,73,16,21,36,50,57,0.1034047919293821
32031825666,2021-05-05T06:46:30Z,78,21,19,38,68,57,0.06622516556291391
32019782031,2021-05-04T07:14:00Z,76,17,17,42,64,57,0.08273748723186926
32006125221,2021-05-03T07:29:30Z,72,16,17,39,77,57,0.10579857578840285
31994333975,2021-05-02T09:29:30Z,82,20,16,46,98,56,0.08129285014691479
31978901589,2021-05-01T06:52:30Z,73,19,18,36,49,56,0.09693251533742331
31969607332,2021-04-30T06:44:00Z,80,21,18,41,64,57,0.07135250266240682
31951542872,2021-04-29T07:03:30Z,67,16,15,36,79,56,0.08957055214723926
31935904566,2021-04-28T07:00:30Z,83,21,20,42,54,56,0.07208121827411168
31923074632,2021-04-27T06:50:30Z,66,17,14,35,39,54,0.10607734806629834
31911612995,2021-04-26T06:48:00Z,76,18,16,42,50,54,0.09117938553022795
31897399600,2021-04-25T09:06:30Z,82,21,17,44,60,54,0.11950207468879669
31883308974,2021-04-24T08:08:30Z,80,20,19,41,98,55,0.1016781836130306
31870058942,2021-04-23T06:53:30Z,75,18,13,44,81,53,0.12197309417040358
31857579260,2021-04-22T06:52:30Z,75,18,19,38,61,54,0.08967082860385925
31844448411,2021-04-21T07:19:30Z,69,17,15,37,71,54,0.1242603550295858
31827977914,2021-04-20T07:39:30Z,73,17,19,37,85,55,0.12638376383763839
31814235819,2021-04-19T07:29:00Z,82,21,17,44,112,55,0.10589318600368323
31801524760,2021-04-18T09:08:30Z,76,18,14,44,64,54,0.10665451230628988
31787252710,2021-04-17T08:06:30Z,85,21,18,46,70,54,0.07744433688286544
31774556707,2021-04-16T07:14:30Z,78,23,16,39,125,54,0.10558375634517767
31746224095,2021-04-14T07:31:30Z,81,21,20,40,76,55,0.07448107448107448
31731487949,2021-04-13T07:37:00Z,84,22,16,46,96,54,0.08341416100872939
31714000816,2021-04-12T07:49:30Z,87,21,20,46,72,56,0.09935004642525534
31700202701,2021-04-11T08:39:00Z,73,16,16,41,42,57,0.10658307210031348
31686260283,2021-04-10T06:56:30Z,68,17,14,37,56,57,0.1112372304199773
31674322487,2021-04-09T07:28:30Z,77,20,15,42,76,57,0.07335490830636461
31659544347,2021-04-08T07:16:30Z,72,18,16,38,83,56,0.08567931456548347
31644519156,2021-04-07T07:35:30Z,76,19,19,38,24,56,0.0630952380952381
31628709078,2021-04-06T06:29:30Z,65,15,13,37,49,54,0.11164465786314526
31613804734,2021-04-05T09:36:30Z,73,18,14,41,82,54,0.11295034079844206
31601421574,2021-04-04T09:34:30Z,85,19,20,46,73,55,0.09074074074074075
31588171253,2021-04-03T09:10:30Z,74,16,18,40,63,55,0.09990205680705191
31575743858,2021-04-02T09:31:30Z,71,17,17,37,30,55,0.09837962962962964
31561950099,2021-04-01T08:55:30Z,72,17,14,41,81,53,0.08308308308308308
31545888601,2021-03-31T07:46:30Z,71,15,18,38,53,54,0.09058402860548272
31532999122,2021-03-30T07:58:30Z,78,18,18,42,58,55,0.11464968152866242
31519552020,2021-03-29T08:06:30Z,73,18,19,36,71,56,0.10162162162162162
31507311204,2021-03-28T10:08:30Z,70,20,12,38,46,55,0.0937129300118624
31493955667,2021-03-27T09:08:30Z,79,19,16,44,114,54,0.0850091407678245
31480587314,2021-03-26T07:31:30Z,68,16,20,32,50,54,0.06976744186046512
31467459979,2021-03-25T07:31:30Z,73,17,17,39,77,54,0.09268292682926829
31454622308,2021-03-24T08:09:30Z,75,17,17,41,57,54,0.12733260153677278
31441379208,2021-03-23T07:45:30Z,79,21,16,42,73,53,0.12379935965848453
31423710597,2021-03-22T07:30:00Z,65,15,18,32,26,53,0.11876988335100742
31407011755,2021-03-21T08:56:30Z,77,18,14,45,70,52,0.10543933054393305
31398759448,2021-03-20T10:07:30Z,76,21,13,42,61,50,0.10488058151609553
31384460172,2021-03-19T07:23:00Z,78,20,22,36,75,52,0.11349306431273644
31369587631,2021-03-18T07:48:30Z,76,20,19,37,74,52,0.10671067106710672
31352973003,2021-03-17T07:13:30Z,77,18,21,38,96,53,0.09349112426035502
31337096037,2021-03-16T07:10:30Z,71,17,19,35,55,53,0.10982658959537572
31323924214,2021-03-15T07:20:00Z,73,17,15,41,98,53,0.09466811751904244
